,Unnamed: 0,Position,Track.Name,Artist,Streams,URL,Date,Region,Danceability,Duration,Instrumentalness,Speechiness,Tempo
0,771623,1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1371493,4Km5HrUvYTaSUfiSGPJeQR,2017-01-01,us,0.927,343150.0,0.0,0.244,127.076
1,771624,2,Fake Love,Drake,1180074,343YBumqHu19cGoGARUTsd,2017-01-01,us,0.928,210937.0,0.0,0.287,134.007
2,771625,3,Starboy,The Weeknd,1064351,5aAx2yezTd8zXrkmtKl66Z,2017-01-01,us,0.681,230453.0,3.49e-06,0.282,186.054
3,771626,4,Closer,The Chainsmokers,1010492,7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,us,0.748,244960.0,0.0,0.0338,95.01
4,771627,5,Black Beatles,Rae Sremmurd,874289,6fujklziTHa8uoM5OQSfIo,2017-01-01,us,0.794,291893.0,0.0,0.0649,145.926
5,771628,6,Broccoli (feat. Lil Yachty),DRAM,763259,7yyRTcZmCiyzzJlNzGC9Ol,2017-01-01,us,0.886,225205.0,0.0,0.131,145.99
6,771629,7,One Dance,Drake,753150,1xznGGDReH1oQq0xzbwXa3,2017-01-01,us,0.791,173987.0,0.00423,0.0532,103.989
7,771630,8,Caroline,Aminé,714839,7FB8l7UA1HKqnuSLjP9qDc,2017-01-01,us,0.952,209640.0,0.0,0.467,120.077
8,771631,9,Let Me Love You,DJ Snake,690483,4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,us,0.476,205947.0,1.02e-05,0.0576,199.864
9,771632,10,Bounce Back,Big Sean,682688,0SGkqnVQo9KPytSri1H6cF,2017-01-01,us,0.78,222360.0,0.0,0.141,81.502
10,771633,11,I Feel It Coming,The Weeknd,651807,5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,us,0.773,269187.0,0.0,0.118,92.99
11,771634,12,24K Magic,Bruno Mars,574974,6b8Be6ljOzmkOmFslEb23P,2017-01-01,us,0.818,225983.0,0.0,0.0797,106.97
12,771635,13,Bad Things (with Camila Cabello),Machine Gun Kelly,567789,1PSBzsahR2AKwLJgx8ehBj,2017-01-01,us,0.697,239293.0,0.0,0.146,137.853
13,771636,14,X (feat. Future),21 Savage,544620,6fwdbPMwP1zVStm8FybmkO,2017-01-01,us,0.835,258880.0,0.00133,0.396,149.004
14,771637,15,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,507450,3NdDpSvN911VPGivFlV5d0,2017-01-01,us,0.735,245200.0,1.3e-05,0.0585,117.973
15,771638,16,Don't Wanna Know,Maroon 5,486364,5MFzQMkrl1FOOng9tq6R9r,2017-01-01,us,0.783,214480.0,0.0,0.08,100.048
16,771639,17,Chill Bill,Rob $tone,485127,5uDASfU19gDxSjW8cnCaBp,2017-01-01,us,0.886,177184.0,0.00099,0.145,108.034
17,771640,18,Deja Vu,J. Cole,478503,6I6NX6tjGsxFAsIfGzY9lJ,2017-01-01,us,0.657,264747.0,0.000218,0.412,174.063
18,771641,19,OOOUUU,Young M.A,456308,7JYsArznYOjX2jsrT3UEnL,2017-01-01,us,0.635,234650.0,0.0,0.447,166.072
19,771642,20,Party Monster,The Weeknd,456291,4F7A0DXBrmUAkp32uenhZt,2017-01-01,us,0.572,249213.0,2.31e-05,0.104,77.519
20,771643,21,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,449345,0v9Wz8o0BT8DU38R4ddjeH,2017-01-01,us,0.652,304607.0,0.0,0.174,135.018
21,771644,22,No Heart,21 Savage,447063,4gmmRb6bZJffOOiww1JGTO,2017-01-01,us,0.906,235040.0,6.44e-05,0.384,140.063
22,771645,23,Starving,Hailee Steinfeld,446785,1qOLh0tI7trd1zdDKxYZTe,2017-01-01,us,0.636,181880.0,0.0,0.126,99.721
23,771646,24,Don't Let Me Down,The Chainsmokers,446177,0QsvXIfqM0zZoerQfsI9lm,2017-01-01,us,0.542,208053.0,0.00466,0.197,159.797
24,771647,25,Side To Side,Ariana Grande,440123,4pLwZjInHj3SimIyN9SnOz,2017-01-01,us,0.648,226160.0,0.0,0.247,159.145
25,771648,26,Treat You Better,Shawn Mendes,438954,4Hf7WnR761jpxPr5D46Bcd,2017-01-01,us,0.624,187973.0,0.0,0.246,166.018
26,771649,27,In the Name of Love,Martin Garrix,435945,04DwTuZ2VBdJCCC5TROn7L,2017-01-01,us,0.49,195840.0,0.0,0.0406,133.889
27,771650,28,Sneakin’,Drake,419434,4ckuS4Nj4FZ7i3Def3Br8W,2017-01-01,us,0.806,251333.0,1.45e-06,0.172,85.011
28,771651,29,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,417329,6JV2JOEocMgcZxYSZelKcc,2017-01-01,us,0.667,236002.0,0.0,0.0749,113.03
29,771652,30,Work from Home,Fifth Harmony,405483,4tCtwWceOPWzenK2HAIJSb,2017-01-01,us,0.803,214480.0,3.94e-06,0.0432,105.017
30,771653,31,Heathens,Twenty One Pilots,401620,6i0V12jOa3mr6uu4WYhUBr,2017-01-01,us,0.732,195920.0,3.58e-05,0.0286,90.024
31,771654,32,You Was Right,Lil Uzi Vert,401546,2ANLarE8yHVsLWW21nj79M,2017-01-01,us,0.843,163944.0,0.0,0.461,81.987
32,771655,33,Into You,Ariana Grande,370887,7yHEDfrJNd0zWOfXwydNH0,2017-01-01,us,0.636,244453.0,1.12e-06,0.106,107.988
33,771656,34,Too Good,Drake,368536,11KJSRSgaDxqydKYiD2Jew,2017-01-01,us,0.804,263373.0,3.49e-05,0.117,117.983
34,771657,35,Controlla,Drake,365140,6F609ICg9Spjrw1epsAnpa,2017-01-01,us,0.607,245227.0,0.0,0.249,122.976
35,771658,36,This Is What You Came For,Calvin Harris,362959,0azC730Exh71aQlOt9Zj3y,2017-01-01,us,0.63,222160.0,0.124,0.0331,123.963
