"","Position","Track.Name","Artist","Streams","URL","Date","Region","Danceability","Duration","Instrumentalness","Speechiness","Tempo"
"771623",1,"Bad and Boujee (feat. Lil Uzi Vert)","Migos",1371493,"4Km5HrUvYTaSUfiSGPJeQR","2017-01-01","us",NA,NA,NA,NA,NA
"771624",2,"Fake Love","Drake",1180074,"343YBumqHu19cGoGARUTsd","2017-01-01","us",NA,NA,NA,NA,NA
"771625",3,"Starboy","The Weeknd",1064351,"5aAx2yezTd8zXrkmtKl66Z","2017-01-01","us",NA,NA,NA,NA,NA
"771626",4,"Closer","The Chainsmokers",1010492,"7BKLCZ1jbUBVqRi2FVlTVw","2017-01-01","us",NA,NA,NA,NA,NA
"771627",5,"Black Beatles","Rae Sremmurd",874289,"6fujklziTHa8uoM5OQSfIo","2017-01-01","us",NA,NA,NA,NA,NA
"771628",6,"Broccoli (feat. Lil Yachty)","DRAM",763259,"7yyRTcZmCiyzzJlNzGC9Ol","2017-01-01","us",NA,NA,NA,NA,NA
"771629",7,"One Dance","Drake",753150,"1xznGGDReH1oQq0xzbwXa3","2017-01-01","us",NA,NA,NA,NA,NA
"771630",8,"Caroline","Aminé",714839,"7FB8l7UA1HKqnuSLjP9qDc","2017-01-01","us",NA,NA,NA,NA,NA
"771631",9,"Let Me Love You","DJ Snake",690483,"4pdPtRcBmOSQDlJ3Fk945m","2017-01-01","us",NA,NA,NA,NA,NA
"771632",10,"Bounce Back","Big Sean",682688,"0SGkqnVQo9KPytSri1H6cF","2017-01-01","us",NA,NA,NA,NA,NA
"771633",11,"I Feel It Coming","The Weeknd",651807,"5GXAXm5YOmYT0kL5jHvYBt","2017-01-01","us",NA,NA,NA,NA,NA
"771634",12,"24K Magic","Bruno Mars",574974,"6b8Be6ljOzmkOmFslEb23P","2017-01-01","us",NA,NA,NA,NA,NA
"771635",13,"Bad Things (with Camila Cabello)","Machine Gun Kelly",567789,"1PSBzsahR2AKwLJgx8ehBj","2017-01-01","us",NA,NA,NA,NA,NA
"771636",14,"X (feat. Future)","21 Savage",544620,"6fwdbPMwP1zVStm8FybmkO","2017-01-01","us",NA,NA,NA,NA,NA
"771637",15,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",507450,"3NdDpSvN911VPGivFlV5d0","2017-01-01","us",NA,NA,NA,NA,NA
"771638",16,"Don't Wanna Know","Maroon 5",486364,"5MFzQMkrl1FOOng9tq6R9r","2017-01-01","us",NA,NA,NA,NA,NA
"771639",17,"Chill Bill","Rob $tone",485127,"5uDASfU19gDxSjW8cnCaBp","2017-01-01","us",NA,NA,NA,NA,NA
"771640",18,"Deja Vu","J. Cole",478503,"6I6NX6tjGsxFAsIfGzY9lJ","2017-01-01","us",NA,NA,NA,NA,NA
"771641",19,"OOOUUU","Young M.A",456308,"7JYsArznYOjX2jsrT3UEnL","2017-01-01","us",NA,NA,NA,NA,NA
"771642",20,"Party Monster","The Weeknd",456291,"4F7A0DXBrmUAkp32uenhZt","2017-01-01","us",NA,NA,NA,NA,NA
"771643",21,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",449345,"0v9Wz8o0BT8DU38R4ddjeH","2017-01-01","us",NA,NA,NA,NA,NA
"771644",22,"No Heart","21 Savage",447063,"4gmmRb6bZJffOOiww1JGTO","2017-01-01","us",NA,NA,NA,NA,NA
"771645",23,"Starving","Hailee Steinfeld",446785,"1qOLh0tI7trd1zdDKxYZTe","2017-01-01","us",NA,NA,NA,NA,NA
"771646",24,"Don't Let Me Down","The Chainsmokers",446177,"0QsvXIfqM0zZoerQfsI9lm","2017-01-01","us",NA,NA,NA,NA,NA
"771647",25,"Side To Side","Ariana Grande",440123,"4pLwZjInHj3SimIyN9SnOz","2017-01-01","us",NA,NA,NA,NA,NA
"771648",26,"Treat You Better","Shawn Mendes",438954,"4Hf7WnR761jpxPr5D46Bcd","2017-01-01","us",NA,NA,NA,NA,NA
"771649",27,"In the Name of Love","Martin Garrix",435945,"04DwTuZ2VBdJCCC5TROn7L","2017-01-01","us",NA,NA,NA,NA,NA
"771650",28,"Sneakin’","Drake",419434,"4ckuS4Nj4FZ7i3Def3Br8W","2017-01-01","us",NA,NA,NA,NA,NA
"771651",29,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",417329,"6JV2JOEocMgcZxYSZelKcc","2017-01-01","us",NA,NA,NA,NA,NA
"771652",30,"Work from Home","Fifth Harmony",405483,"4tCtwWceOPWzenK2HAIJSb","2017-01-01","us",NA,NA,NA,NA,NA
"771653",31,"Heathens","Twenty One Pilots",401620,"6i0V12jOa3mr6uu4WYhUBr","2017-01-01","us",NA,NA,NA,NA,NA
"771654",32,"You Was Right","Lil Uzi Vert",401546,"2ANLarE8yHVsLWW21nj79M","2017-01-01","us",NA,NA,NA,NA,NA
"771655",33,"Into You","Ariana Grande",370887,"7yHEDfrJNd0zWOfXwydNH0","2017-01-01","us",NA,NA,NA,NA,NA
"771656",34,"Too Good","Drake",368536,"11KJSRSgaDxqydKYiD2Jew","2017-01-01","us",NA,NA,NA,NA,NA
"771657",35,"Controlla","Drake",365140,"6F609ICg9Spjrw1epsAnpa","2017-01-01","us",NA,NA,NA,NA,NA
"771658",36,"This Is What You Came For","Calvin Harris",362959,"0azC730Exh71aQlOt9Zj3y","2017-01-01","us",NA,NA,NA,NA,NA
"771659",37,"Say You Won't Let Go","James Arthur",361392,"5uCax9HTNlzGybIStD3vDh","2017-01-01","us",NA,NA,NA,NA,NA
"771660",38,"All We Know","The Chainsmokers",351014,"2rizacJSyD9S1IQUxUxnsK","2017-01-01","us",NA,NA,NA,NA,NA
"771661",39,"pick up the phone","Young Thug",350286,"20dP2DaMHIAmwWAbp7peSr","2017-01-01","us",NA,NA,NA,NA,NA
"771662",40,"iSpy (feat. Lil Yachty)","KYLE",349836,"2EEeOnHehOozLq4aS0n6SL","2017-01-01","us",NA,NA,NA,NA,NA
"771663",41,"Cheap Thrills","Sia",345244,"27SdWb2rFzO6GWiYDBTD9j","2017-01-01","us",NA,NA,NA,NA,NA
"771664",42,"Needed Me","Rihanna",342524,"1Tt4sE4pXi57mTD1GCzsqm","2017-01-01","us",NA,NA,NA,NA,NA
"771665",43,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",342437,"6DNtNfH8hXkqOX1sjqmI7p","2017-01-01","us",NA,NA,NA,NA,NA
"771666",44,"Panda","Desiigner",332310,"5OOkp4U9P9oL23maHFHL1h","2017-01-01","us",NA,NA,NA,NA,NA
"771667",45,"Scars To Your Beautiful","Alessia Cara",331379,"0prNGof3XqfTvNDxHonvdK","2017-01-01","us",NA,NA,NA,NA,NA
"771668",46,"Mercy","Shawn Mendes",323626,"4TZy1wLyHec06pwgFYDh1a","2017-01-01","us",NA,NA,NA,NA,NA
"771669",47,"Neighbors","J. Cole",317884,"0utlOiJy2weVl9WTkcEWHy","2017-01-01","us",NA,NA,NA,NA,NA
"771670",48,"Work","Rihanna",316050,"14WWzenpaEgQZlqPq2nk4v","2017-01-01","us",NA,NA,NA,NA,NA
"771671",49,"Call On Me - Ryan Riback Extended Remix","Starley",313819,"78rIJddV4X0HkNAInEcYde","2017-01-01","us",NA,NA,NA,NA,NA
"771672",50,"Swang","Rae Sremmurd",308264,"6mapJIPnQ23RTAevUoE0DL","2017-01-01","us",NA,NA,NA,NA,NA
"771673",51,"Six Feet Under","The Weeknd",307482,"4mU5iXHeLgbR94siF7p1sY","2017-01-01","us",NA,NA,NA,NA,NA
"771674",52,"How Far I'll Go - From ""Moana""","Alessia Cara",305401,"5hYTyyh2odQKphUbMqc5gN","2017-01-01","us",NA,NA,NA,NA,NA
"771675",53,"Send My Love (To Your New Lover)","Adele",302383,"4BHzQ9C00ceJxfG16AlNWb","2017-01-01","us",NA,NA,NA,NA,NA
"771676",54,"Love Me Now","John Legend",301472,"6nxQdXa1uAL0rY72wPZu89","2017-01-01","us",NA,NA,NA,NA,NA
"771677",55,"Love Yourself","Justin Bieber",300179,"3hB5DgAiMAQ4DzYbsMq1IT","2017-01-01","us",NA,NA,NA,NA,NA
"771678",56,"Juju On That Beat (TZ Anthem)","Zay Hilfigerrr",299010,"1lItf5ZXJc1by9SbPeljFd","2017-01-01","us",NA,NA,NA,NA,NA
"771679",57,"Jumpman","Drake",297396,"27GmP9AWRs744SzKcpJsTZ","2017-01-01","us",NA,NA,NA,NA,NA
"771680",58,"Sidewalks","The Weeknd",295550,"4h90qkbnW1Qq6pBhoPvwko","2017-01-01","us",NA,NA,NA,NA,NA
"771681",59,"I Want You Back","The Jackson 5",284664,"3b0EOvScbZUc0qJx0E1L2z","2017-01-01","us",NA,NA,NA,NA,NA
"771682",60,"Cake By The Ocean","DNCE",282236,"2aFiaMXmWsM3Vj72F9ksBl","2017-01-01","us",NA,NA,NA,NA,NA
"771683",61,"Low Life","Future",278813,"7EiZI6JVHllARrX9PUvAdX","2017-01-01","us",NA,NA,NA,NA,NA
"771684",62,"goosebumps","Travis Scott",276401,"6gBFPUFcJLzWGx4lenP6h2","2017-01-01","us",NA,NA,NA,NA,NA
"771685",63,"Redbone","Childish Gambino",272870,"3kxfsdsCpFgN412fpnW85Y","2017-01-01","us",NA,NA,NA,NA,NA
"771686",64,"Just Hold On","Steve Aoki",272841,"3EmmCZoqpWOTY1g2GBwJoR","2017-01-01","us",NA,NA,NA,NA,NA
"771687",65,"Billie Jean","Michael Jackson",269981,"5ChkMS8OtdzJeqyybCc9R5","2017-01-01","us",NA,NA,NA,NA,NA
"771688",66,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",265739,"5knuzwU65gJK7IF5yJsuaW","2017-01-01","us",NA,NA,NA,NA,NA
"771689",67,"Immortal","J. Cole",264865,"6AGON2BGdPmPMJGiiNuuwl","2017-01-01","us",NA,NA,NA,NA,NA
"771690",68,"Ride","Twenty One Pilots",264707,"2Z8WuEywRWYTKe1NybPQEW","2017-01-01","us",NA,NA,NA,NA,NA
"771691",69,"Ain't No Mountain High Enough","Marvin Gaye",260834,"2H3ZUSE54pST4ubRd5FzFR","2017-01-01","us",NA,NA,NA,NA,NA
"771692",70,"Money Longer","Lil Uzi Vert",259985,"0B8QzDH7YWih85V5SEMnyJ","2017-01-01","us",NA,NA,NA,NA,NA
"771693",71,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",258637,"4dASQiO1Eoo3RJvt74FtXB","2017-01-01","us",NA,NA,NA,NA,NA
"771694",72,"No Role Modelz","J. Cole",253285,"62vpWI1CHwFy7tMIcSStl8","2017-01-01","us",NA,NA,NA,NA,NA
"771695",73,"Used to This","Future",249166,"78sr3ogs4UzITcCNbXM9cM","2017-01-01","us",NA,NA,NA,NA,NA
"771696",74,"Chantaje","Shakira",244295,"6mICuAdrwEjh6Y6lroV2Kg","2017-01-01","us",NA,NA,NA,NA,NA
"771697",75,"Pumped Up Kicks","Foster The People",242742,"7w87IxuO7BDcJ3YUqCyMTT","2017-01-01","us",NA,NA,NA,NA,NA
"771698",76,"Some Kind Of Drug","G-Eazy",236873,"1Bqxj0aH5KewYHKUg1IdrF","2017-01-01","us",NA,NA,NA,NA,NA
"771699",77,"Too Much Sauce","DJ Esco",235274,"5oyUurs28XRagLa8lgm6V3","2017-01-01","us",NA,NA,NA,NA,NA
"771700",78,"Now and Later","Sage The Gemini",233690,"08WPvDEsHvTFuB9w8tC2OS","2017-01-01","us",NA,NA,NA,NA,NA
"771701",79,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",233185,"17Fd6Yb7mSbinKG8LoWfFl","2017-01-01","us",NA,NA,NA,NA,NA
"771702",80,"Happy - From ""Despicable Me 2""","Pharrell Williams",233169,"5b88tNINg4Q4nrRbrCXUmg","2017-01-01","us",NA,NA,NA,NA,NA
"771703",81,"Reminder","The Weeknd",232197,"37F0uwRSrdzkBiuj0D5UHI","2017-01-01","us",NA,NA,NA,NA,NA
"771704",82,"All Time Low","Jon Bellion",231839,"1CnPYaKxTVb4LWOtiGOm0m","2017-01-01","us",NA,NA,NA,NA,NA
"771705",83,"One Night","Lil Yachty",227622,"40yJGQyEaBbIkXpwMFkXip","2017-01-01","us",NA,NA,NA,NA,NA
"771706",84,"Paper Planes","M.I.A.",227569,"1kusepF3AacIEtUTYrw4GV","2017-01-01","us",NA,NA,NA,NA,NA
"771707",85,"Stressed Out","Twenty One Pilots",227187,"3CRDbSIZ4r5MsZ0YwxuEkn","2017-01-01","us",NA,NA,NA,NA,NA
"771708",86,"Titanium (feat. Sia)","David Guetta",226512,"2dOTkLZFbpNXrhc24CnTFd","2017-01-01","us",NA,NA,NA,NA,NA
"771709",87,"Bohemian Rhapsody - Remastered 2011","Queen",223789,"1AhDOtG9vPSOmsWgNW0BEY","2017-01-01","us",NA,NA,NA,NA,NA
"771710",88,"White Iverson","Post Malone",221512,"6eT7xZZlB2mwyzJ2sUKG6w","2017-01-01","us",NA,NA,NA,NA,NA
"771711",89,"All Night","The Vamps",220922,"4b4KcovePX8Ke2cLIQTLM0","2017-01-01","us",NA,NA,NA,NA,NA
"771712",90,"Trust Nobody (feat. Selena Gomez & Tory Lanez)","Cashmere Cat",219337,"2wDjpPW3HZdA9quPPmZAMu","2017-01-01","us",NA,NA,NA,NA,NA
"771713",91,"Me, Myself & I","G-Eazy",217132,"40YcuQysJ0KlGQTeGUosTC","2017-01-01","us",NA,NA,NA,NA,NA
"771714",92,"i hate u, i love u (feat. olivia o'brien)","gnash",216032,"7vRriwrloYVaoAe3a9wJHe","2017-01-01","us",NA,NA,NA,NA,NA
"771715",93,"Too Many Years","Kodak Black",215772,"0BU7nIcCZxYSE0hYcc5oZz","2017-01-01","us",NA,NA,NA,NA,NA
"771716",94,"Love On The Brain","Rihanna",215035,"2aksifNn5ph8igDOkPBA02","2017-01-01","us",NA,NA,NA,NA,NA
"771717",95,"Change","J. Cole",214737,"3pjUyVbFmM96tYhSaKJwTt","2017-01-01","us",NA,NA,NA,NA,NA
"771718",96,"Don't","Bryson Tiller",213378,"3pXF1nA74528Edde4of9CC","2017-01-01","us",NA,NA,NA,NA,NA
"771719",97,"Water","Ugly God",210924,"6HEIBHUirx1J0JkUD24szt","2017-01-01","us",NA,NA,NA,NA,NA
"771720",98,"Rich Girl","Daryl Hall & John Oates",210173,"0qRR9d89hIS0MHRkQ0ejxX","2017-01-01","us",NA,NA,NA,NA,NA
"771721",99,"Erase Your Social","Lil Uzi Vert",208263,"4uhvMW7ly7tJil31YYscAN","2017-01-01","us",NA,NA,NA,NA,NA
"771722",100,"Never Be Like You","Flume",207102,"12REd1n8PeiHHWOh066tpr","2017-01-01","us",NA,NA,NA,NA,NA
"771723",101,"The Mack","Nevada",206028,"7aV2mflaASUmGhCErm7kBO","2017-01-01","us",NA,NA,NA,NA,NA
"771724",102,"Gold","Kiiara",205831,"6WhzFzROw3aq3rPWjgYlxr","2017-01-01","us",NA,NA,NA,NA,NA
"771725",103,"Exchange","Bryson Tiller",205357,"43PuMrRfbyyuz4QpZ3oAwN","2017-01-01","us",NA,NA,NA,NA,NA
"771726",104,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",205345,"3bidbhpOYeV4knp8AIu8Xn","2017-01-01","us",NA,NA,NA,NA,NA
"771727",105,"You Make My Dreams - Remastered","Daryl Hall & John Oates",204880,"4o6BgsqLIBViaGVbx5rbRk","2017-01-01","us",NA,NA,NA,NA,NA
"771728",106,"Die For You","The Weeknd",203645,"2LBqCSwhJGcFQeTHMVGwy3","2017-01-01","us",NA,NA,NA,NA,NA
"771729",107,"Selfish","PnB Rock",201991,"2xbI8Vmyv3TkpTdywpPyNw","2017-01-01","us",NA,NA,NA,NA,NA
"771730",108,"Weak","AJR",200498,"3E2Zh20GDCR9B1EYjfXWyv","2017-01-01","us",NA,NA,NA,NA,NA
"771731",109,"Come and See Me (feat. Drake)","PARTYNEXTDOOR",200095,"1wZqJM5FGDEl3FjHDxDyQd","2017-01-01","us",NA,NA,NA,NA,NA
"771732",110,"Twist And Shout - Remastered 2009","The Beatles",198226,"4Z1fbYp0HuxLBje4MOZcSD","2017-01-01","us",NA,NA,NA,NA,NA
"771733",111,"Make Me (Cry)","Noah Cyrus",196528,"2BrzlUj1u1CtvaJDGIKpsP","2017-01-01","us",NA,NA,NA,NA,NA
"771734",112,"No Flockin","Kodak Black",196193,"34oWbFBfGEElvgO0a5c9V4","2017-01-01","us",NA,NA,NA,NA,NA
"771735",113,"Father Stretch My Hands Pt. 1","Kanye West",195965,"4KW1lqgSr8TKrvBII0Brf8","2017-01-01","us",NA,NA,NA,NA,NA
"771736",114,"We Are Young (feat. Janelle Monáe) - feat. Janelle Monae","fun.",194870,"5rgy6ghBq1eRApCkeUdJXf","2017-01-01","us",NA,NA,NA,NA,NA
"771737",115,"Respect","Aretha Franklin",194667,"7s25THrKz86DM225dOYwnr","2017-01-01","us",NA,NA,NA,NA,NA
